Num_Acc;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202000014124;154 717 459;B01;1;1;4;1;1978;0;2;8; -1; -1; -1; -1
202000014124;154 717 460;A01;1;1;1;1;1994;0;1;8; -1; -1; -1; -1
202000014125;154 717 457;B01;1;1;1;1;1959;0;1;8; -1; -1; -1; -1
202000014125;154 717 458;A01;1;1;1;1;2001;0;2;8; -1; -1; -1; -1
202000014125;154 717 458;A01;2;2;4;2;2003;0;2;8; -1; -1; -1; -1
202000014234;154 717 277;A01;1;1;3;1;1996;5;1; -1; -1;0;0; -1
202000014234;154 717 277;A01;7;2;3;2;1983;5;1; -1; -1;0;0; -1
202000014234;154 717 277;A01;9;2;3;2;1961;1;1; -1; -1;0;0; -1
202000014329;154 717 127;B01;1;1;4;1;1992;1;1; -1; -1;0;0; -1
202000014329;154 717 128;A01;1;1;1;1;1968;0;1; -1; -1;0;0; -1
202000014333;154 717 120;A01;1;1;1;1;1982;5;1; -1; -1;0;0; -1
202000014333;154 717 120;A01;10;3;3;1;2014;5;0; -1; -1;1;5;3
202000014360;154 717 070;A01;1;1;1;1;1970;9;1;8; -1; -1; -1; -1
202000014360;154 717 070;A01;10;3;1;2;2006;9;0; -1; -1;6;1;2
202000014360;154 717 070;A01;10;3;4;2;2013;9;0; -1; -1;6;1;2
202000014361;154 717 068;B01;2;2;3;1;1971;9;2;0; -1; -1; -1; -1
202000014361;154 717 068;B01;1;1;3;1;1974;9;2;0; -1; -1; -1; -1
202000014361;154 717 069;A01;1;1;1;1;1968;4;1;0; -1; -1; -1; -1
202000014504;154 716 824;Z01;10;3;4;1;1974;0;0; -1; -1;1;1;1
202000014504;154 716 824;Z01;1;1;1;1;1985;0;8;0; -1; -1; -1; -1
202000015210;154 715 534;B01;1;1;4;2;1997;1;2;0; -1; -1; -1; -1
202000015210;154 715 535;A01;1;1;1;2;1985;9;1;0; -1; -1; -1; -1
202000015383;154 715 237;A01;1;1;1;1;1967;5;1;8; -1; -1; -1; -1
202000015383;154 715 237;A01;2;2;4;2;1987;5;1;0; -1; -1; -1; -1
202000015383;154 715 237;A01;2;2;4;2;2020;5;1;0; -1; -1; -1; -1
202000015383;154 715 238;B01;1;1;1;1;1984;5;1;0; -1; -1; -1; -1
202000015384;154 715 235;B01;1;1;1;1;1982;0;1;8; -1; -1; -1; -1
202000015384;154 715 236;A01;1;1;4;1;1979;0;2;8; -1; -1; -1; -1
202000015512;154 715 003;A01;1;1;2;1;1962;0;2;0; -1; -1; -1; -1
202000015765;154 714 552;B01;1;1;4;1;1950;0;2;8; -1; -1; -1; -1
202000015765;154 714 553;A01;1;1;1;1;1957;0;1;8; -1; -1; -1; -1
