Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202000025880;2;0001;0;;1;1;0;1;3;0;2;; -1;1;0;1;50
202000025937;4;ILET MALOUIN;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000025938;4;Rue LALLOUETTE;0;;1;2;0;1;(1);(1);1;; -1;1;0;1;50
202000025939;4;route de raban;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000025976;3;11; -1;D;2;2;0;1;9;200;1;; -1;2;0;3;80
202000026010;4;FLAMBOYANTS (RUE DES);0;;2;1;0;1;(1);(1);1;; -1;1;0;1;50
202000026011;3;0017;0;;2;2;1;1;0;350;1;; -1;1;9;1;50
202000026712;2;2;0;;2;4;0;1;0;650;1;; -1;1;5;1;50
202000026716;2;1; -1;;2;2;0;2;206;450;3;; -1;1;0;1;80
202000026804;3;0003;0;;2;0;0;1;1;500;1;; -1;1;9;1;50
202000026908;3;6; -1;;2;2;0;1;4;600;3;; -1;2;0;3;80
202000027025;4;rue MOLE;0;;1;1;0;1;(1);(1);1;; -1;1;0;1;50
202000027030;3;0001;0;;2;2;2;1;3;750;1;; -1;1;0;1;70
202000027258;4;UNIVERSITE CHICAGO (RUE DE);0;;2;1;0;1;(1);(1);1;; -1;2;0;1;50
202000027424;4;avenue DIGUE RONJON;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000027929;3;0017;0;;2;1;0;1;3;860;1;; -1;1;0;1;50
202000028199;2;0001; -1;;2;2;0;1;14;400;1;; -1;2;0;1;80
202000028387;2;1;0;;2;2;0;1;15;200;1;; -1;1;0;1;80
202000028609;3;2; -1;;2;2;0;1;10;250;1;; -1;1;0;1;50
202000028688;2;0001;0;;1;1;0;1;3;0;3;; -1;1;0;1;50
202000028689;2;0001; -1;;2; -1; -1;1;3;0;2;; -1;1;0;1; -1
202000028839;3;0001;0;;2;2;0;1;3;600;1;; -1;1;0;1;50
202000029017;3;0001;0;;2;1;2;1;3;100;1;; -1;1;0;1;50
202000029032;4;Route de degrad saramaca; -1;;2;2;0;1;(1);(1);3;; -1;2;0;3;70
202000029043;2;0001;0;;3;4;0;1;2;750;2;; -1;1;0;1;50
202000029203;3;0002;0;;2;1;2;1;0;250;1;; -1;1;0;1;50
202000029322;3;RD2; -1;;2;2;0;1;11;40;1;; -1;2;0;1;50
202000029464;3;0002;0;;4;2;0;1;1;750;1;; -1;1;0;1;50
202000029466;3;0003;0;;2;3;0;1;2;350;1;; -1;1;5;6;50
202000029817;4;REPUBLIQUE (BD DE LA);0;;2;2;0;2;(1);(1);3;; -1;1;9;3;50
202000029949;3;9;0;;2;2;0;1;5;0;1;; -1;1;0;1;80
202000030091;4;; -1;;2;2;0;1;(1);(1);1;; -1;2;0;1;50
202000030092;4;; -1;;2;2;0;2;(1);(1);1;; -1;1;0;1;50
