;;;Date_deces_Cim10#Annee;Cause_deces#Causes_de_deces_alphabetique;Lieu_domicile#commune;Nb_deces_standardises
;;;2018;Maladies vasculaires cérébrales;Auvergne-Rhône-Alpes;127,69
;;;2018;Sida;Auvergne-Rhône-Alpes;0,62
;;;2018;Alzheimer;Bourgogne-Franche-Comté;128,18
;;;2018;Asthme;Bourgogne-Franche-Comté;3,56
;;;2018;Cancer de la prostate;Bourgogne-Franche-Comté;49,22
;;;2018;Cancer de la trachée, des bronches et du poumon;Bourgogne-Franche-Comté;143,99
;;;2018;Cancer du côlon-rectum;Bourgogne-Franche-Comté;78,39
;;;2018;Cancer du sein;Bourgogne-Franche-Comté;56,21
;;;2018;Cardiopathies ischémiques;Bourgogne-Franche-Comté;157,74
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;Bourgogne-Franche-Comté;202,81
;;;2018;Diabète;Bourgogne-Franche-Comté;191,27
;;;2018;Maladie chronique du foie;Bourgogne-Franche-Comté;51,54
;;;2018;Maladie de Parkinson;Bourgogne-Franche-Comté;57,30
;;;2018;Maladie hypertensive;Bourgogne-Franche-Comté;286,43
;;;2018;Maladies vasculaires cérébrales;Bourgogne-Franche-Comté;139,73
;;;2018;Sida;Bourgogne-Franche-Comté;0,72
;;;2018;Alzheimer;Bretagne;123,07
;;;2018;Asthme;Bretagne;2,98
;;;2018;Cancer de la prostate;Bretagne;52,38
;;;2018;Cancer de la trachée, des bronches et du poumon;Bretagne;144,67
;;;2018;Cancer du côlon-rectum;Bretagne;85,28
;;;2018;Cancer du sein;Bretagne;53,13
;;;2018;Cardiopathies ischémiques;Bretagne;179,65
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;Bretagne;223,26
;;;2018;Diabète;Bretagne;125,84
;;;2018;Maladie chronique du foie;Bretagne;75,44
;;;2018;Maladie de Parkinson;Bretagne;45,99
;;;2018;Maladie hypertensive;Bretagne;225,77
;;;2018;Maladies vasculaires cérébrales;Bretagne;156,51
;;;2018;Sida;Bretagne;0,69
;;;2018;Alzheimer;Centre-Val de Loire;128,47
;;;2018;Asthme;Centre-Val de Loire;4,59
;;;2018;Cancer de la prostate;Centre-Val de Loire;54,66
;;;2018;Cancer de la trachée, des bronches et du poumon;Centre-Val de Loire;134,29
;;;2018;Cancer du côlon-rectum;Centre-Val de Loire;85,52
;;;2018;Cancer du sein;Centre-Val de Loire;51,50
;;;2018;Cardiopathies ischémiques;Centre-Val de Loire;165,59
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;Centre-Val de Loire;192,05
;;;2018;Diabète;Centre-Val de Loire;189,37
;;;2018;Maladie chronique du foie;Centre-Val de Loire;50,44
;;;2018;Maladie de Parkinson;Centre-Val de Loire;45,54
;;;2018;Maladie hypertensive;Centre-Val de Loire;244,59
;;;2018;Maladies vasculaires cérébrales;Centre-Val de Loire;156,50
;;;2018;Sida;Centre-Val de Loire;1,73
;;;2018;Alzheimer;Corse;99,97
;;;2018;Asthme;Corse;1,53
;;;2018;Cancer de la prostate;Corse;29,22
;;;2018;Cancer de la trachée, des bronches et du poumon;Corse;163,62
;;;2018;Cancer du côlon-rectum;Corse;54,56
;;;2018;Cancer du sein;Corse;39,06
;;;2018;Cardiopathies ischémiques;Corse;163,16
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;Corse;152,69
;;;2018;Diabète;Corse;124,32
;;;2018;Maladie chronique du foie;Corse;32,44
;;;2018;Maladie de Parkinson;Corse;40,27
;;;2018;Maladie hypertensive;Corse;162,37
;;;2018;Maladies vasculaires cérébrales;Corse;108,91
;;;2018;Sida;Corse;1,69
;;;2018;Alzheimer;Departements d'outre mer;112,54
;;;2018;Asthme;Departements d'outre mer;8,21
;;;2018;Cancer de la prostate;Departements d'outre mer;84,03
;;;2018;Cancer de la trachée, des bronches et du poumon;Departements d'outre mer;71,62
;;;2018;Cancer du côlon-rectum;Departements d'outre mer;59,98
;;;2018;Cancer du sein;Departements d'outre mer;38,35
;;;2018;Cardiopathies ischémiques;Departements d'outre mer;115,11
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;Departements d'outre mer;158,98
;;;2018;Diabète;Departements d'outre mer;316,44
;;;2018;Maladie chronique du foie;Departements d'outre mer;45,02
;;;2018;Maladie de Parkinson;Departements d'outre mer;50,41
;;;2018;Maladie hypertensive;Departements d'outre mer;371,18
;;;2018;Maladies vasculaires cérébrales;Departements d'outre mer;188,90
;;;2018;Sida;Departements d'outre mer;3,31
;;;2018;Alzheimer;France (y compris Mayotte);124,35
;;;2018;Asthme;France (y compris Mayotte);3,64
;;;2018;Cancer de la prostate;France (y compris Mayotte);47,84
;;;2018;Cancer de la trachée, des bronches et du poumon;France (y compris Mayotte);143,81
;;;2018;Cancer du côlon-rectum;France (y compris Mayotte);78,74
;;;2018;Cancer du sein;France (y compris Mayotte);53,61
;;;2018;Cardiopathies ischémiques;France (y compris Mayotte);150,36
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;France (y compris Mayotte);205,80
;;;2018;Diabète;France (y compris Mayotte);169,60
;;;2018;Maladie chronique du foie;France (y compris Mayotte);54,08
;;;2018;Maladie de Parkinson;France (y compris Mayotte);52,07
;;;2018;Maladie hypertensive;France (y compris Mayotte);241,08
;;;2018;Maladies vasculaires cérébrales;France (y compris Mayotte);141,23
;;;2018;Sida;France (y compris Mayotte);1,11
;;;2018;Alzheimer;France métropolitaine;124,51
;;;2018;Asthme;France métropolitaine;3,52
;;;2018;Cancer de la prostate;France métropolitaine;47,02
;;;2018;Cancer de la trachée, des bronches et du poumon;France métropolitaine;145,18
;;;2018;Cancer du côlon-rectum;France métropolitaine;78,92
;;;2018;Cancer du sein;France métropolitaine;53,72
;;;2018;Cardiopathies ischémiques;France métropolitaine;150,10
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;France métropolitaine;206,25
;;;2018;Diabète;France métropolitaine;166,06
;;;2018;Maladie chronique du foie;France métropolitaine;54,15
