Date_RP#Annee;Age_personne#age_m5_514_1524_2544_4564_65p;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Population__totale_ou_par_âge_et_ou_genre_
;65 ans et plus;masculin§feminin;;;;65 ans et plus;masculin§feminin;;;;65 ans et plus;masculin§feminin;;
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Martinique;82590.82355761528
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Normandie;752241.5403411984
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Nouvelle-Aquitaine;1519980.4505898654
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Occitanie;1424887.861727804
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Pays de la Loire;835134.7148061395
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Provence-Alpes-Côte d'Azur;1227163.64629215
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Réunion;117136.49859160185
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Île-de-France;1902640.1796773374

Date_RP#Annee;Age_personne#age_m5_514_1524_2544_4564_65p;Sexe_personne#sexe;Lieu_domicile#France;Population__totale_ou_par_âge_et_ou_genre__0_0
;65 ans et plus;masculin§feminin;;;;65 ans et plus;masculin§feminin;;;;65 ans et plus;masculin§feminin;;
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Departements d'outre mer;277317.572145164
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;France métropolitaine;13284112.601386428
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Departements d'outre mer;287888.158185035
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;France métropolitaine;13535896.31420219
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Departements d'outre mer;299181.41209441423
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;France métropolitaine;13822562.68763414

Date_RP#Annee;Age_personne#age_m5_514_1524_2544_4564_65p;Sexe_personne#sexe;Lieu_domicile#France_avec_Mayotte;Population__totale_ou_par_âge_et_ou_genre__0_0
;65 ans et plus;masculin§feminin;France métropolitaine§Départements d'outre-mer (hors Mayotte)§Saint-Barthélémy§Saint-Martin;;;65 ans et plus;masculin§feminin;France métropolitaine§Départements d'outre-mer (hors Mayotte)§Saint-Barthélémy§Saint-Martin;;;65 ans et plus;masculin§feminin;France métropolitaine§Départements d'outre-mer (hors Mayotte)§Saint-Barthélémy§Saint-Martin;
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;France (y compris Mayotte);13565464.085794032
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;France (y compris Mayotte);13828087.84333232
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;France (y compris Mayotte);14126237.048017591
