;;Date_RP#Annee;Age_personne_PrPCS#age_m15_1524_2554_5564_65plus;Sexe_personne_PrPCS#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;PCS_RP#CSP_6postes;Population_par_groupe_socioprofessionnel__totale_ou_par_âge_et_ou_genre_;;;;;;;;;;;;
;;;15-24 ans§25-54 ans§55-64 ans§65 ans ou plus;masculin§feminin;;;;;15-24 ans§25-54 ans§55-64 ans§65 ans ou plus;masculin§feminin;;;;;15-24 ans§25-54 ans§55-64 ans§65 ans ou plus;masculin§feminin;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97352 - Saül;Cadres et professions intellectuelles supérieures;0,00;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97353 - Maripasoula;Cadres et professions intellectuelles supérieures;112,80;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97356 - Camopi;Cadres et professions intellectuelles supérieures;22,39;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97357 - Grand-Santi;Cadres et professions intellectuelles supérieures;19,07;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97358 - Saint-Élie;Cadres et professions intellectuelles supérieures;0,00;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97360 - Apatou;Cadres et professions intellectuelles supérieures;76,10;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97361 - Awala-Yalimapo;Cadres et professions intellectuelles supérieures;29,21;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97362 - Papaichton;Cadres et professions intellectuelles supérieures;47,02;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97301 - Régina;Ouvriers;185,23;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97302 - Cayenne;Ouvriers;4856,12;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97303 - Iracoubo;Ouvriers;135,08;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97304 - Kourou;Ouvriers;1930,84;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97305 - Macouria;Ouvriers;1507,65;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97306 - Mana;Ouvriers;794,03;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97307 - Matoury;Ouvriers;3122,02;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97308 - Saint-Georges;Ouvriers;370,96;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97309 - Remire-Montjoly;Ouvriers;1259,19;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97310 - Roura;Ouvriers;531,50;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;Ouvriers;3723,71;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97312 - Sinnamary;Ouvriers;297,91;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97313 - Montsinéry-Tonnegrande;Ouvriers;269,77;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97314 - Ouanary;Ouvriers;174,58;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97352 - Saül;Ouvriers;580,31;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97353 - Maripasoula;Ouvriers;2723,21;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97356 - Camopi;Ouvriers;536,88;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97357 - Grand-Santi;Ouvriers;413,95;;;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97358 - Saint-Élie;Ouvriers;0,00;;;;;;;;;;;;
