Date_RP#Annee;Age_personne#age_0_65;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Population__totale_ou_par_âge_et_ou_genre_
;6§7§8§9§10§11§12§13§14§15§16;masculin§feminin;;
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Bourgogne-Franche-Comté;366928.9631687403
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Bourgogne-Franche-Comté;365236.866042614
2022;Age : 0,1,2, ..., 65 ou +;Sexe;Bourgogne-Franche-Comté;362049.67474526167
2015;Age : 0,1,2, ..., 65 ou +;Sexe;Bretagne;450816.85523319244
2016;Age : 0,1,2, ..., 65 ou +;Sexe;Bretagne;452596.3846850991
2017;Age : 0,1,2, ..., 65 ou +;Sexe;Bretagne;453833.06302416325
2018;Age : 0,1,2, ..., 65 ou +;Sexe;Bretagne;454330.36293917894
2019;Age : 0,1,2, ..., 65 ou +;Sexe;Bretagne;454541.6013302207
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Bretagne;455093.81304866076
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Bretagne;455033.23501223326
2022;Age : 0,1,2, ..., 65 ou +;Sexe;Bretagne;452518.27099472284
2015;Age : 0,1,2, ..., 65 ou +;Sexe;Centre-Val de Loire;350453.34175896645
2016;Age : 0,1,2, ..., 65 ou +;Sexe;Centre-Val de Loire;351717.71422064304
2017;Age : 0,1,2, ..., 65 ou +;Sexe;Centre-Val de Loire;352002.46903294325
2018;Age : 0,1,2, ..., 65 ou +;Sexe;Centre-Val de Loire;350775.65877872705
2019;Age : 0,1,2, ..., 65 ou +;Sexe;Centre-Val de Loire;348842.8988353014
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Centre-Val de Loire;349507.55307614803
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Centre-Val de Loire;347822.29219689965
2022;Age : 0,1,2, ..., 65 ou +;Sexe;Centre-Val de Loire;346864.218208313
2015;Age : 0,1,2, ..., 65 ou +;Sexe;Corse;37517.273756325245
2016;Age : 0,1,2, ..., 65 ou +;Sexe;Corse;37919.58376318216
2017;Age : 0,1,2, ..., 65 ou +;Sexe;Corse;38582.36952859163
2018;Age : 0,1,2, ..., 65 ou +;Sexe;Corse;39583.40835726261
2019;Age : 0,1,2, ..., 65 ou +;Sexe;Corse;39561.24762302637
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Corse;39747.36892232299
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Corse;40060.19930395484
2022;Age : 0,1,2, ..., 65 ou +;Sexe;Corse;40481.74770069122
2015;Age : 0,1,2, ..., 65 ou +;Sexe;Grand Est;731452.2454036176
2016;Age : 0,1,2, ..., 65 ou +;Sexe;Grand Est;730139.1642333269
2017;Age : 0,1,2, ..., 65 ou +;Sexe;Grand Est;728000.1664974093
2018;Age : 0,1,2, ..., 65 ou +;Sexe;Grand Est;726437.9055363238
2019;Age : 0,1,2, ..., 65 ou +;Sexe;Grand Est;722648.8249447048
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Grand Est;724978.7167177796
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Grand Est;722647.89629668
2022;Age : 0,1,2, ..., 65 ou +;Sexe;Grand Est;717840.2534117103
2015;Age : 0,1,2, ..., 65 ou +;Sexe;Guadeloupe;63965.17320853472
2016;Age : 0,1,2, ..., 65 ou +;Sexe;Guadeloupe;62202.466471493244
2017;Age : 0,1,2, ..., 65 ou +;Sexe;Guadeloupe;60640.39720070362
2018;Age : 0,1,2, ..., 65 ou +;Sexe;Guadeloupe;58790.627338409424
2019;Age : 0,1,2, ..., 65 ou +;Sexe;Guadeloupe;57259.376584768295
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Guadeloupe;55648.05987524986
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Guadeloupe;54562.030033290386
2022;Age : 0,1,2, ..., 65 ou +;Sexe;Guadeloupe;53043.04090958834
2015;Age : 0,1,2, ..., 65 ou +;Sexe;Guyane;62482.67922860384
2016;Age : 0,1,2, ..., 65 ou +;Sexe;Guyane;64034.17008769512
2017;Age : 0,1,2, ..., 65 ou +;Sexe;Guyane;64183.719148635864
2018;Age : 0,1,2, ..., 65 ou +;Sexe;Guyane;65557.18830174208
2019;Age : 0,1,2, ..., 65 ou +;Sexe;Guyane;66644.54615783691
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Guyane;67025.23418396711
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Guyane;66410.50429916382
2022;Age : 0,1,2, ..., 65 ou +;Sexe;Guyane;66477.88227266073
2015;Age : 0,1,2, ..., 65 ou +;Sexe;Hauts-de-France;882451.935509026
2016;Age : 0,1,2, ..., 65 ou +;Sexe;Hauts-de-France;882564.4218212962
2017;Age : 0,1,2, ..., 65 ou +;Sexe;Hauts-de-France;882550.3777496815
2018;Age : 0,1,2, ..., 65 ou +;Sexe;Hauts-de-France;880803.4891248643
2019;Age : 0,1,2, ..., 65 ou +;Sexe;Hauts-de-France;875992.9191754311
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Hauts-de-France;877703.3834838271
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Hauts-de-France;873860.304815948
2022;Age : 0,1,2, ..., 65 ou +;Sexe;Hauts-de-France;869287.1829478145
2015;Age : 0,1,2, ..., 65 ou +;Sexe;Martinique;54408.330040454865
2016;Age : 0,1,2, ..., 65 ou +;Sexe;Martinique;52867.47918355465
2017;Age : 0,1,2, ..., 65 ou +;Sexe;Martinique;51258.98055613041
2018;Age : 0,1,2, ..., 65 ou +;Sexe;Martinique;49482.47955811024
2019;Age : 0,1,2, ..., 65 ou +;Sexe;Martinique;48345.5413851738
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Martinique;46777.373862326145
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Martinique;45844.04207897186
2022;Age : 0,1,2, ..., 65 ou +;Sexe;Martinique;44971.64119178057
2015;Age : 0,1,2, ..., 65 ou +;Sexe;Normandie;463360.50946962833
2016;Age : 0,1,2, ..., 65 ou +;Sexe;Normandie;463234.6829686165
2017;Age : 0,1,2, ..., 65 ou +;Sexe;Normandie;461567.4589138031
2018;Age : 0,1,2, ..., 65 ou +;Sexe;Normandie;459214.91702213883
2019;Age : 0,1,2, ..., 65 ou +;Sexe;Normandie;455693.6018861532
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Normandie;455220.3070667982
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Normandie;452593.0173818469
